,count_A,count_B,ratio_A,ratio_B,log2_fold
BC,12,7,0.0005410523468580808,0.00031561386901933367,0.7776075785776773
BD,1,0,4.508769561283712e-05,4.508769556774943e-14,29.897352855428956
BE,1,0,4.508769561283712e-05,4.508769556774943e-14,29.897352855428956
BG,2,0,9.017539118058654e-05,4.508769556774943e-14,30.89735285470761
BH,4,0,0.00018035078231608539,4.508769556774943e-14,31.897352854346934
BT,1,0,4.508769561283712e-05,4.508769556774943e-14,29.897352855428956
CB,15,7,0.000676315433561329,0.00031561386901933367,1.0995356734409947
CC,2552,6187,0.11506379908894161,0.2789575724777108,-1.2776117048484357
CD,235,244,0.010595608458466202,0.011001397718575947,-0.054220390997660024
CE,378,609,0.017043148924654368,0.027458406600804484,-0.688055993683812
CG,53,26,0.0023896478651358067,0.0011722800848065727,1.0274807363938392
CH,475,565,0.021416655394726064,0.02547454799582351,-0.250323354083756
CS,206,79,0.009288065287001468,0.0035619279498972922,1.3827197789948567
CT,344,304,0.015510167275350888,0.013706659452640912,0.17833724125796066
DB,1,0,4.508769561283712e-05,4.508769556774943e-14,29.897352855428956
DC,269,296,0.012128590107769682,0.013345957888098916,-0.1379910030718364
DD,4407,2316,0.1987014743671168,0.10442310293495274,0.9281616432879041
DE,9,0,0.0004057892601548325,4.508769556774943e-14,33.06727785558887
DG,1,1,4.508769561283712e-05,4.508769561283712e-05,0.0
DH,103,39,0.004644032643523278,0.001758420127187315,1.4010983082979847
DS,3,0,0.00013526308674833597,4.508769556774943e-14,31.482315355188316
DT,15,14,0.000676315433561329,0.0006312277379935796,0.09953567354404456
EC,412,629,0.01857613057395785,0.028360160512159473,-0.6104156796948627
ED,8,1,0.0003607015645870831,4.508769561283712e-05,2.999999998737642
EE,2388,3537,0.1076694170158307,0.15947517922317478,-0.5667233824359176
EG,7,2,0.00031561386901933367,9.017539118058654e-05,1.807354921542356
EH,19,60,0.0008566662158323267,0.0027052617341100527,-1.6589630821130465
ES,35,8,0.0015780693449163174,0.0003607015645870831,2.1292830168058496
ET,61,61,0.002750349429677802,0.002750349429677802,0.0
GB,1,0,4.508769561283712e-05,4.508769556774943e-14,29.897352855428956
GC,23,29,0.0010370169981033244,0.0013075431715098209,-0.3344190390575816
GD,4,0,0.00018035078231608539,4.508769556774943e-14,31.897352854346934
GE,8,1,0.0003607015645870831,4.508769561283712e-05,2.999999998737642
GG,159,32,0.007168943595317245,0.001442806258213069,2.3128829552483445
GH,26,2,0.0011722800848065727,9.017539118058654e-05,3.7004397174752333
GS,13,0,0.0005861400424258302,4.508769556774943e-14,33.597792572238326
GT,28,3,0.0012624554759420716,0.00013526308674833597,3.2223924209070747
HB,1,0,4.508769561283712e-05,4.508769556774943e-14,29.897352855428956
HC,251,416,0.011317011587550193,0.018756481356228847,-0.7288961641880405
HD,127,49,0.005726137337149264,0.002209297082864809,1.373974842638875
HE,7,98,0.00031561386901933367,0.004418594165684531,-3.807354921866226
HG,19,2,0.0008566662158323267,9.017539118058654e-05,3.2479275127981695
HH,7238,5525,0.3263447405194154,0.24910951801186065,0.3896166432063207
HI,3,0,0.00013526308674833597,4.508769556774943e-14,31.482315355188316
HS,24,4,0.0010821046936710739,0.00018035078231608539,2.5849625004205947
HT,269,112,0.012128590107769682,0.005049821903633023,1.264107440491502
IC,2,0,9.017539118058654e-05,4.508769556774943e-14,30.89735285470761
IH,1,0,4.508769561283712e-05,4.508769556774943e-14,29.897352855428956
II,12,0,0.0005410523468580808,4.508769556774943e-14,33.48231535482764
SB,3,0,0.00013526308674833597,4.508769556774943e-14,31.482315355188316
SC,300,119,0.013526308670369913,0.005365435772607269,1.3340009271806228
SD,2,0,9.017539118058654e-05,4.508769556774943e-14,30.89735285470761
SE,67,12,0.003020875603084299,0.0005410523468580808,2.4811266896379247
SG,5,1,0.0002254384778838348,4.508769561283712e-05,2.3219280937332063
SH,39,6,0.001758420127187315,0.00027052617345158425,2.700439717937635
SS,135,20,0.006086838901691259,0.0009017539114000761,2.7548875021020205
ST,37,8,0.0016682447360518162,0.0003607015645870831,2.2094533654876045
TC,445,389,0.02006402452769358,0.01753911357589961,0.19403518086710148
TD,16,5,0.0007214031291290784,0.0002254384778838348,1.6780719049142672
TE,72,41,0.003246314080923046,0.001848595518322814,0.8123729968090786
TG,16,3,0.0007214031291290784,0.00013526308674833597,2.415037498888114
TH,34,9,0.0015329816493485679,0.0004057892601548325,1.9175378396901597
TS,172,55,0.007755083637697988,0.0024798232562713057,1.6449050411595951
TT,603,246,0.02718788042739799,0.011091573109711445,1.293499686557373
