,count_A,count_B,ratio_A,ratio_B,log2_fold
'GDXG' lipolytic enzyme,2,0,6.7594285609272684e-06,3.1292636215293087e-15,31.008430938826184
'de novo' AMP biosynthetic process,4,40,1.3518857118474823e-05,0.0001251705448643016,-3.2108500104441804
'de novo' CTP biosynthetic process,2,0,6.7594285609272684e-06,3.1292636215293087e-15,31.008430938826184
'de novo' IMP biosynthetic process,11,25,3.7176857069891266e-05,7.823159054136198e-05,-1.0733464869454052
'de novo' L-methionine biosynthetic process,2,0,6.7594285609272684e-06,3.1292636215293087e-15,31.008430938826184
'de novo' UMP biosynthetic process,5,0,1.68985713972486e-05,3.1292636215293087e-15,32.330359033280736
'de novo' XMP biosynthetic process,1,0,3.3797142821534916e-06,3.1292636215293087e-15,30.008430939547534
'de novo' cotranslational protein folding,3,0,1.0139142839701046e-05,3.1292636215293087e-15,31.59339343930689
'de novo' protein folding,0,3,3.379714278773777e-15,9.387790867717188e-06,-31.371237271069738
'de novo' pyrimidine nucleobase biosynthetic process,25,3,8.449285697272414e-05,9.387790867717188e-06,3.169971772748954
"1,2-diacylglycerol 3-glucosyltransferase activity",1,0,3.3797142821534916e-06,3.1292636215293087e-15,30.008430939547534
"1,3-beta-galactosyl-N-acetylhexosamine phosphorylase",1,0,3.3797142821534916e-06,3.1292636215293087e-15,30.008430939547534
"1,3-beta-glucan synthase",0,1,3.379714278773777e-15,3.129263624658572e-06,-29.78627477131038
"1,4-alpha-glucan branching enzyme",4,0,1.3518857118474823e-05,3.1292636215293087e-15,32.00843093846551
"1,4-alpha-glucan branching enzyme activity",1,0,3.3797142821534916e-06,3.1292636215293087e-15,30.008430939547534
"1,4-alpha-glucan-branching enzyme",1,0,3.3797142821534916e-06,3.1292636215293087e-15,30.008430939547534
"1,4-alpha-oligoglucan phosphorylase activity",2,2,6.7594285609272684e-06,6.258527246187881e-06,0.11107808411857584
"1,4-dihydroxy-2-naphthoyl-CoA thioesterase activity",2,0,6.7594285609272684e-06,3.1292636215293087e-15,31.008430938826184
1-,1,0,3.3797142821534916e-06,3.1292636215293087e-15,30.008430939547534
1-acyl-2-lysophosphatidylserine acylhydrolase activity,19,10,6.421457130008148e-05,3.1292636218422344e-05,1.037077502606461
1-acylglycerol-3-phosphate O-acyltransferase,8,0,2.703771423356993e-05,3.1292636215293087e-15,33.00843093828517
1-acylglycerol-3-phosphate O-acyltransferase activity,8,0,2.703771423356993e-05,3.1292636215293087e-15,33.00843093828517
1-acylglycerophosphocholine O-acyltransferase,1,0,3.3797142821534916e-06,3.1292636215293087e-15,30.008430939547534
1-alkyl-2-acetylglycerophosphocholine esterase,7,0,2.3657999954796155e-05,3.1292636215293087e-15,32.81578586036854
1-alkyl-2-acetylglycerophosphocholine esterase activity,3,0,1.0139142839701046e-05,3.1292636215293087e-15,31.59339343930689
1-aminocyclopropane-1-carboxylate deaminase,1,0,3.3797142821534916e-06,3.1292636215293087e-15,30.008430939547534
1-deoxy-D-xylulose 5-phosphate biosynthetic process,4,0,1.3518857118474823e-05,3.1292636215293087e-15,32.00843093846551
1-deoxy-D-xylulose-5-phosphate reductoisomerase,1,1,3.3797142821534916e-06,3.129263624658572e-06,0.11107808411857584
1-deoxy-D-xylulose-5-phosphate synthase,5,0,1.68985713972486e-05,3.1292636215293087e-15,32.330359033280736
1-deoxy-D-xylulose-5-phosphate synthase activity,4,0,1.3518857118474823e-05,3.1292636215293087e-15,32.00843093846551
1-deoxypentalenic acid 11beta-hydroxylase,1,0,3.3797142821534916e-06,3.1292636215293087e-15,30.008430939547534
1-phosphatidylinositol 4-kinase,3,1,1.0139142839701046e-05,3.129263624658572e-06,1.6960405838779353
1-phosphatidylinositol-3-kinase activity,0,1,3.379714278773777e-15,3.129263624658572e-06,-29.78627477131038
1-phosphatidylinositol-4-phosphate 5-kinase,2,0,6.7594285609272684e-06,3.1292636215293087e-15,31.008430938826184
1-phosphatidylinositol-4-phosphate 5-kinase activity,1,0,3.3797142821534916e-06,3.1292636215293087e-15,30.008430939547534
1-pyrroline-5-carboxylate dehydrogenase activity,1,0,3.3797142821534916e-06,3.1292636215293087e-15,30.008430939547534
1.1.-.-,4,0,1.3518857118474823e-05,3.1292636215293087e-15,32.00843093846551
1.1.1.-,65,2,0.00021968142812367524,6.258527246187881e-06,5.133445896447879
1.1.2.-,1,0,3.3797142821534916e-06,3.1292636215293087e-15,30.008430939547534
1.1.5.-,3,0,1.0139142839701046e-05,3.1292636215293087e-15,31.59339343930689
1.1.98.-,1,0,3.3797142821534916e-06,3.1292636215293087e-15,30.008430939547534
1.10.10.10,245,66,0.000828029998302955,0.00020653139902406363,2.003321903746722
1.10.10.1070,1,0,3.3797142821534916e-06,3.1292636215293087e-15,30.008430939547534
1.10.10.1100,2,0,6.7594285609272684e-06,3.1292636215293087e-15,31.008430938826184
1.10.10.1320,8,0,2.703771423356993e-05,3.1292636215293087e-15,33.00843093828517
1.10.10.1410,1,0,3.3797142821534916e-06,3.1292636215293087e-15,30.008430939547534
1.10.10.1450,1,0,3.3797142821534916e-06,3.1292636215293087e-15,30.008430939547534
1.10.10.1550,1,0,3.3797142821534916e-06,3.1292636215293087e-15,30.008430939547534
1.10.10.1590,1,0,3.3797142821534916e-06,3.1292636215293087e-15,30.008430939547534
1.10.10.160,5,1,1.68985713972486e-05,3.129263624658572e-06,2.433006177851782
1.10.10.1830,1,0,3.3797142821534916e-06,3.1292636215293087e-15,30.008430939547534
1.10.10.200,2,0,6.7594285609272684e-06,3.1292636215293087e-15,31.008430938826184
1.10.10.2250,1,0,3.3797142821534916e-06,3.1292636215293087e-15,30.008430939547534
1.10.10.2260,1,0,3.3797142821534916e-06,3.1292636215293087e-15,30.008430939547534
1.10.10.250,0,1,3.379714278773777e-15,3.129263624658572e-06,-29.78627477131038
1.10.10.2830,1,0,3.3797142821534916e-06,3.1292636215293087e-15,30.008430939547534
1.10.10.2840,2,0,6.7594285609272684e-06,3.1292636215293087e-15,31.008430938826184
1.10.10.2910,1,0,3.3797142821534916e-06,3.1292636215293087e-15,30.008430939547534
1.10.10.350,2,0,6.7594285609272684e-06,3.1292636215293087e-15,31.008430938826184
1.10.10.370,1,0,3.3797142821534916e-06,3.1292636215293087e-15,30.008430939547534
1.10.10.400,0,1,3.379714278773777e-15,3.129263624658572e-06,-29.78627477131038
1.10.10.41,1,1,3.3797142821534916e-06,3.129263624658572e-06,0.11107808411857584
1.10.10.410,1,0,3.3797142821534916e-06,3.1292636215293087e-15,30.008430939547534
1.10.10.510,0,1,3.379714278773777e-15,3.129263624658572e-06,-29.78627477131038
1.10.10.580,1,0,3.3797142821534916e-06,3.1292636215293087e-15,30.008430939547534
1.10.10.60,58,17,0.00019602342817225877,5.3197481569127504e-05,1.8815962379358182
1.10.10.630,1,0,3.3797142821534916e-06,3.1292636215293087e-15,30.008430939547534
1.10.10.690,1,0,3.3797142821534916e-06,3.1292636215293087e-15,30.008430939547534
1.10.10.730,1,0,3.3797142821534916e-06,3.1292636215293087e-15,30.008430939547534
1.10.10.880,1,1,3.3797142821534916e-06,3.129263624658572e-06,0.11107808411857584
1.10.10.930,3,2,1.0139142839701046e-05,6.258527246187881e-06,0.6960405845992829
1.10.10.970,2,0,6.7594285609272684e-06,3.1292636215293087e-15,31.008430938826184
1.10.10.990,1,0,3.3797142821534916e-06,3.1292636215293087e-15,30.008430939547534
1.10.101.10,9,0,3.041742851234371e-05,3.1292636215293087e-15,33.17835593970745
1.10.1020.10,2,1,6.7594285609272684e-06,3.129263624658572e-06,1.1110780833972282
