,count_A,count_B,ratio_A,ratio_B,log2_fold
BBC,17,0,8.30904566749047e-06,4.887673921765707e-16,33.984815695321466
BBD,2,0,9.77534784841909e-07,4.887673921765707e-16,30.89735285470761
BBG,1,0,4.887673926653382e-07,4.887673921765707e-16,29.897352855428956
BBS,3,0,1.4663021770184795e-06,4.887673921765707e-16,31.482315355188316
BBT,4,0,1.9550695691950503e-06,4.887673921765707e-16,31.897352854346934
BCB,6,0,2.9326043535481918e-06,4.887673921765707e-16,32.482315354947865
BCC,566,136,0.0002766423439724278,6.647236533650238e-05,2.057195401573484
BCD,24,11,1.1730417412726465e-05,5.376441314431045e-06,1.1255308820128174
BCE,54,10,2.6393439178023585e-05,4.887673922254475e-06,2.432959407158553
BCG,32,0,1.564055655013903e-05,4.887673921765707e-16,34.89735285403135
BCH,158,16,7.722524796438693e-05,7.820278275313899e-06,3.3037807480960653
BCS,88,8,4.3011530512026994e-05,3.910139137901333e-06,3.4594316184733547
BCT,502,46,0.00024536123087312724,2.248330004061102e-05,3.4479815978652697
BDC,2,0,9.77534784841909e-07,4.887673921765707e-16,30.89735285470761
BDD,7,1,3.4213717457247623e-06,4.887673926653382e-07,2.807354920821008
BDT,2,0,9.77534784841909e-07,4.887673921765707e-16,30.89735285470761
BEB,1,0,4.887673926653382e-07,4.887673921765707e-16,29.897352855428956
BEC,32,0,1.564055655013903e-05,4.887673921765707e-16,34.89735285403135
BED,1,0,4.887673926653382e-07,4.887673921765707e-16,29.897352855428956
BEE,98,6,4.78992044337927e-05,2.9326043535481918e-06,4.029747343168324
BEH,2,0,9.77534784841909e-07,4.887673921765707e-16,30.89735285470761
BES,8,0,3.910139137901333e-06,4.887673921765707e-16,32.8973528541666
BET,17,0,8.30904566749047e-06,4.887673921765707e-16,33.984815695321466
BGG,89,3,4.3500297904203564e-05,1.4663021770184795e-06,4.890770929780554
BGH,3,1,1.4663021770184795e-06,4.887673926653382e-07,1.5849624997593592
BGT,2,0,9.77534784841909e-07,4.887673921765707e-16,30.89735285470761
BHG,4,0,1.9550695691950503e-06,4.887673921765707e-16,31.897352854346934
BHH,165,2,8.064661970962293e-05,9.77534784841909e-07,6.366322213533212
BII,1,0,4.887673926653382e-07,4.887673921765707e-16,29.897352855428956
BSC,13,0,6.3539760987841865e-06,4.887673921765707e-16,33.59779257223833
BSE,4,0,1.9550695691950503e-06,4.887673921765707e-16,31.897352854346934
BSH,2,0,9.77534784841909e-07,4.887673921765707e-16,30.89735285470761
BSS,52,0,2.5415904393670444e-05,4.887673921765707e-16,35.5977925721551
BST,5,0,2.4438369613716212e-06,4.887673921765707e-16,32.21928094916216
BTC,3,0,1.4663021770184795e-06,4.887673921765707e-16,31.482315355188316
BTG,2,0,9.77534784841909e-07,4.887673921765707e-16,30.89735285470761
BTS,2,0,9.77534784841909e-07,4.887673921765707e-16,30.89735285470761
BTT,44,0,2.1505765256257876e-05,4.887673921765707e-16,35.356784472656344
CBB,6,0,2.9326043535481918e-06,4.887673921765707e-16,32.482315354947865
CBC,1027,216,0.0005019641117658269,0.00010557375671062804,2.249332964149452
CBD,6,1,2.9326043535481918e-06,4.887673926653382e-07,2.58496249951891
CBE,68,3,3.3236182668495576e-05,1.4663021770184795e-06,4.502500340069501
CBG,46,2,2.248330004061102e-05,9.77534784841909e-07,4.523561955367028
CBH,128,2,6.256222619908982e-05,9.77534784841909e-07,5.999999999289924
CBS,39,0,1.9061928295375023e-05,4.887673921765707e-16,35.1827550728855
CBT,35,0,1.710685872666874e-05,4.887673921765707e-16,35.02663587097245
CCB,408,84,0.00019941709600852962,4.105646094332071e-05,2.2801079191790965
CCC,177211,336434,0.08661495833500275,0.16443796881953288,-0.9248553527037667
CCD,11975,13363,0.005852989521314924,0.006531398661656003,-0.1582182739506241
CCE,21384,31898,0.010451801914304277,0.015590702275648741,-0.5769342273611752
CCG,3477,1958,0.0016994442225984252,0.0009570065538822142,0.828462302123611
CCH,24461,36746,0.011955739180031585,0.017960246592920753,-0.5871038289026
CCI,1,0,4.887673926653382e-07,4.887673921765707e-16,29.897352855428956
CCS,14445,5964,0.007060244979991053,0.0029150087269415566,1.2762180411683937
CCT,18081,19148,0.008837403217945064,0.009358918025397464,-0.08271924054415761
CDB,2,1,9.77534784841909e-07,4.887673926653382e-07,0.9999999992786525
CDC,4905,6356,0.0023974040586265686,0.0031066055446747724,-0.3738659882418508
CDD,12681,13438,0.006198059300191582,0.006568056216069247,-0.0836499171768281
CDE,136,100,6.647236533650238e-05,4.887673921814584e-05,0.4436066514717957
CDG,75,43,3.6657554413731576e-05,2.1016997864081305e-05,0.8025539357794682
CDH,824,803,0.00040274433115398305,0.0003924802159182751,0.03724434966585815
CDS,203,78,9.921978061233261e-05,3.812385659026129e-05,1.3799336983115384
CDT,741,969,0.0003621766376033277,0.0004736156030195858,-0.38702312310878906
CEB,4,0,1.9550695691950503e-06,4.887673921765707e-16,31.897352854346934
CEC,3363,5742,0.001643724739890296,0.002806502365878358,-0.7718045516804214
CED,122,75,5.96296218460304e-05,3.6657554413731576e-05,0.7019186470595947
CEE,36648,38815,0.017912347388487453,0.01897150632733408,-0.08287981958866639
CEG,14,7,6.842743490960758e-06,3.4213717457247623e-06,0.9999999998969504
CEH,93,302,4.5455367472909846e-05,0.00014760775243781313,-1.6992459282063117
CES,237,46,0.00011583787194633603,2.248330004061102e-05,2.365181292815971
CET,290,270,0.00014174254373169428,0.00013196719588816285,0.10309349296373538
CGC,158,370,7.722524796438693e-05,0.00018084393510581993,-1.2276007123339774
CGD,14,7,6.842743490960758e-06,3.4213717457247623e-06,0.9999999998969504
CGE,4,18,1.9550695691950503e-06,8.79781305966704e-06,-2.169925001161788
CGG,4908,1579,0.002398870360803098,0.000771763712247294,1.6361240778020483
CGH,248,181,0.00012121431326027831,8.846689798444806e-05,0.45435042330151665
CGS,5,0,2.4438369613716212e-06,4.887673921765707e-16,32.21928094916216
CGT,697,424,0.00034067087234755856,0.00020723737428335475,0.7170943913038912
CHC,1922,4634,0.0009394109277638577,0.0022649480953467176,-1.2696497080906322
CHD,500,428,0.0002443836960887741,0.00020919244385206103,0.22431729826045477
CHE,112,684,5.4741947924264693e-05,0.00033431689624926315,-2.6104975928175214
CHG,260,204,0.00012707952196639715,9.970854800450919e-05,0.3499424710554357
CHH,37707,45325,0.01842995205680244,0.022153382050403556,-0.2654746469306113
CHI,15,0,7.331510883137328e-06,4.887673921765707e-16,33.80424344969096
CHS,25,32,1.2219184804903036e-05,1.564055655013903e-05,-0.3561438102126516
CHT,311,624,0.00015200665896740226,0.0003049908527186689,-1.0046314487293189
CIH,1,0,4.887673926653382e-07,4.887673921765707e-16,29.897352855428956
CII,7,0,3.4213717457247623e-06,4.887673921765707e-16,32.70470777624996
CSB,39,4,1.9061928295375023e-05,1.9550695691950503e-06,3.2854022185385663
CSC,8809,5196,0.0043055519576839,0.0025396353697499504,0.761576822533975
CSD,135,47,6.598359794432582e-05,2.297206743278759e-05,1.5222267453531846
CSE,3608,544,0.001763472750973556,0.00026588946134454324,2.7295207820027896
CSG,218,13,0.00010655129149498118,6.3539760987841865e-06,4.067744606531476
CSH,1334,510,0.0006520157011640341,0.0002492713700105398,1.3871895143239799
CSS,9770,2111,0.004775257421565585,0.0010317879648852296,2.210431983508056
