,count_A,count_B,ratio_A,ratio_B,log2_fold
'GDXG' lipolytic enzyme,0,1,7.020007016310982e-14,7.009673352546436e-05,-29.89522759841787
'de novo' AMP biosynthetic process,2,0,0.00014040014039641972,7.009673345536762e-14,30.899478111718693
'de novo' GDP-L-fucose biosynthetic process,1,0,7.02000702333099e-05,7.009673345536762e-14,29.899478112440043
'de novo' IMP biosynthetic process,2,1,0.00014040014039641972,7.009673352546436e-05,1.002125256289739
'de novo' UMP biosynthetic process,2,0,0.00014040014039641972,7.009673345536762e-14,30.899478111718693
'de novo' XMP biosynthetic process,1,0,7.02000702333099e-05,7.009673345536762e-14,29.899478112440043
'de novo' cotranslational protein folding,0,1,7.020007016310982e-14,7.009673352546436e-05,-29.89522759841787
'de novo' pyrimidine nucleobase biosynthetic process,1,1,7.02000702333099e-05,7.009673352546436e-05,0.0021252570110865546
"1,2-phenylacetyl-CoA epoxidase, subunit A/C",0,1,7.020007016310982e-14,7.009673352546436e-05,-29.89522759841787
"1,3-beta-glucan synthase",0,1,7.020007016310982e-14,7.009673352546436e-05,-29.89522759841787
"1,4-alpha-glucan branching enzyme",1,1,7.02000702333099e-05,7.009673352546436e-05,0.0021252570110865546
"1,4-alpha-glucan branching enzyme activity",1,0,7.02000702333099e-05,7.009673345536762e-14,29.899478112440043
"1,4-alpha-oligoglucan phosphorylase activity",1,1,7.02000702333099e-05,7.009673352546436e-05,0.0021252570110865546
"1,4-dihydroxy-2-naphthoyl-CoA thioesterase activity",0,1,7.020007016310982e-14,7.009673352546436e-05,-29.89522759841787
1-acyl-2-lysophosphatidylserine acylhydrolase activity,0,1,7.020007016310982e-14,7.009673352546436e-05,-29.89522759841787
1-alkyl-2-acetylglycerophosphocholine esterase,2,0,0.00014040014039641972,7.009673345536762e-14,30.899478111718693
1-alkyl-2-acetylglycerophosphocholine esterase activity,1,0,7.02000702333099e-05,7.009673345536762e-14,29.899478112440043
1-alkyl-2-acetylglycerophosphocholine esterase complex,1,0,7.02000702333099e-05,7.009673345536762e-14,29.899478112440043
1-phosphatidylinositol binding,1,0,7.02000702333099e-05,7.009673345536762e-14,29.899478112440043
1.1.1.-,8,4,0.0005616005613750787,0.0002803869338915672,1.0021252568307497
1.1.1.n11,1,0,7.02000702333099e-05,7.009673345536762e-14,29.899478112440043
1.10.10.10,9,14,0.0006318006315381885,0.0009813542684452435,-0.6353046635469558
1.10.10.200,0,1,7.020007016310982e-14,7.009673352546436e-05,-29.89522759841787
1.10.10.2110,0,1,7.020007016310982e-14,7.009673352546436e-05,-29.89522759841787
1.10.10.410,0,1,7.020007016310982e-14,7.009673352546436e-05,-29.89522759841787
1.10.10.490,0,1,7.020007016310982e-14,7.009673352546436e-05,-29.89522759841787
1.10.10.510,0,1,7.020007016310982e-14,7.009673352546436e-05,-29.89522759841787
1.10.10.60,1,2,7.02000702333099e-05,0.00014019346698083198,-0.997874742267566
1.10.10.830,1,0,7.02000702333099e-05,7.009673345536762e-14,29.899478112440043
1.10.1030.10,1,0,7.02000702333099e-05,7.009673345536762e-14,29.899478112440043
1.10.110.10,1,0,7.02000702333099e-05,7.009673345536762e-14,29.899478112440043
1.10.1200.30,1,0,7.02000702333099e-05,7.009673345536762e-14,29.899478112440043
1.10.1200.50,1,0,7.02000702333099e-05,7.009673345536762e-14,29.899478112440043
1.10.1220.10,1,0,7.02000702333099e-05,7.009673345536762e-14,29.899478112440043
1.10.1240.20,0,1,7.020007016310982e-14,7.009673352546436e-05,-29.89522759841787
