,count_A,count_B,ratio_A,ratio_B,log2_fold
BB,30,23,0.00026172529314088806,0.0001934724091603808,0.4359255129768345
BC,702,691,0.006124371859301359,0.005812584118443653,0.0753821933562344
BE,50,40,0.000436208821895664,0.00033647375505531434,0.3745249683201139
BG,28,30,0.0002442769402654105,0.00025235531629358876,-0.04693880010751457
BH,52,69,0.00045365717477114157,0.0005804172274643187,-0.3554878651902766
BI,0,1,8.724176437738797e-15,8.411843884584407e-06,-29.844755981988992
BS,168,146,0.0014656616415488419,0.001228129205929606,0.2550897373374139
BT,167,181,0.0014569374651111032,0.0015225437415956457,-0.06354472116851982
CB,687,665,0.0059935092127352775,0.0055938761776631665,0.09955263186944358
CC,10324,10505,0.09006839754322407,0.08836641991920119,0.02752275797352906
CD,364,436,0.003175600223345646,0.0036675639300196494,-0.2077928111376107
CE,2514,2630,0.021932579564484057,0.02212314939434225,-0.012481276319166602
CG,699,731,0.006098199329988143,0.006149057873490555,-0.011982077136945657
CH,1885,1936,0.016445072585146357,0.016285329744278494,0.014082444321417278
CI,0,6,8.724176437738797e-15,5.047106326544722e-05,-32.429718481507905
CS,3141,3113,0.027402638190946283,0.0261860699865336,0.06551523962274579
CT,2132,2220,0.018599944165267838,0.0186742934051115,-0.005755365038300724
DC,422,511,0.003681602456734496,0.004298452220732591,-0.22348341878987596
DD,4545,4910,0.03965138190953156,0.0413021534320157,-0.05884585668059743
DE,1,0,8.724176446462974e-06,8.411843876172564e-15,29.949949728868923
DG,0,1,8.724176437738797e-15,8.411843884584407e-06,-29.844755981988992
DH,2,2,1.7448352884201772e-05,1.682368776075697e-05,0.052596873439965226
DT,0,2,8.724176437738797e-15,1.682368776075697e-05,-30.844755981267642
EB,66,54,0.0005757956448994848,0.0004542395693217302,0.34210349063009243
EC,2588,2691,0.02257816862087673,0.02263627187078878,-0.0037079002079235352
ED,3,2,2.6172529321940567e-05,1.682368776075697e-05,0.637559373920672
EE,19646,21198,0.17139517029582513,0.1783142664871144,-0.05709567741331811
EG,114,107,0.000994556113910947,0.0009000672947588761,0.14401990120273178
EH,121,119,0.0010556253489751187,0.0010010094212729468,0.0766423474064157
ES,705,786,0.006150544388614575,0.006611709286680046,-0.10430918153227488
ET,799,879,0.006970616973762023,0.007394010767164095,-0.08507078877529788
GB,36,36,0.00031407035176732085,0.0003028263795506241,0.052596873439965226
GC,414,445,0.003611809045232586,0.0037432705249052026,-0.05157769491422727
GD,0,1,8.724176437738797e-15,8.411843884584407e-06,-29.844755981988992
GE,107,120,0.0009334868788467755,0.0010094212651491194,-0.11282673576594585
GG,3061,3160,0.02670470407592718,0.026581426648713713,0.006675359902505939
GH,158,134,0.001378419877171454,0.0011271870794155353,0.29028843115765995
GI,1,1,8.724176446462974e-06,8.411843884584407e-06,0.052596873439964914
GS,292,283,0.0025474595198284526,0.002380551816965247,0.09776318948794285
GT,278,290,0.0024253210497001097,0.002439434724098455,-0.008371143851247254
HB,15,23,0.00013086264657480613,0.0001934724091603808,-0.5640744869750757
HC,678,658,0.005914991624795628,0.005534993270529958,0.09579456284100261
HD,1,4,8.724176446462974e-06,3.36473755131021e-05,-1.9474031254780138
HE,16,31,0.00013958682301254492,0.0002607671601697613,-0.9015994369032805
HG,133,106,0.001160315466227984,0.0008916554508827036,0.37995885437519233
HH,33180,33575,0.28946817420418197,0.2824276581425022,0.035523360081024
HI,99,89,0.0008636934673448651,0.00074865410498777,0.2062200625515394
HS,359,411,0.003131979341156952,0.0034572678331153354,-0.14255767641815825
HT,1885,1968,0.016445072585146357,0.016554508748316016,-0.009568823743215972
IC,11,15,9.596594082385093e-05,0.0001261776581510003,-0.39486210349628215
IE,2,0,1.7448352884201772e-05,8.411843876172564e-15,30.949949728147573
IG,8,7,6.979341151063456e-05,5.8882907141619786e-05,0.2452419513565986
IH,52,49,0.00045365717477114157,0.0004121803499408674,0.13832674746415016
II,430,449,0.0037513958682364066,0.0037769179004098928,-0.009781911711579844
IS,16,10,0.00013958682301254492,8.411843877013747e-05,0.7306687784985014
IT,13,17,0.00011341429369932854,0.00014300134590334543,-0.3344262496431702
SB,205,212,0.0017884561697451774,0.0017833109017569952,0.0041565183824440995
SC,3771,3760,0.032898869346721725,0.03162853297441725,0.056811362016627974
SE,939,971,0.008192001675045454,0.008167900403771971,0.004250735674597761
SG,167,160,0.0014569374651111032,0.0013458950201960219,0.11437307102627707
SH,471,527,0.004109087102183697,0.004433041722751352,-0.10947902858414098
SS,3219,3231,0.02808312395308991,0.027178667563921965,0.04722869965228088
ST,611,648,0.005330471803467129,0.005450874831768233,-0.03222455962579562
TB,159,168,0.0013871440536091927,0.0014131897712054023,-0.026837594053953882
TC,2862,3011,0.02496859296481716,0.025328061911164,-0.02062216255801983
TD,2,2,1.7448352884201772e-05,1.682368776075697e-05,0.052596873439965226
TE,775,851,0.006761236739256292,0.007158479138631263,-0.0823659480842316
TG,138,169,0.001203936348416678,0.0014216016150815749,-0.23975810606213271
TH,457,462,0.003986948632055354,0.003886271870800136,0.03689818708201095
TI,2,1,1.7448352884201772e-05,8.411843884584407e-06,1.0525968727186175
TS,1486,1532,0.012964126186488576,0.012886944818304779,0.008614692053633098
TT,6160,6608,0.053740926856479715,0.05558546433375671,-0.04868646239720072
