step_divisor,temperature,k,p_value,jsd
25,0.1,1,0.0,0.5617093747923863
25,0.1,2,0.0,0.8103037250824301
25,0.1,3,0.0,0.9109102471806145
25,0.25,1,0.0,0.39226580856134796
25,0.25,2,0.0,0.5859763864793875
25,0.25,3,0.0,0.7024809538170084
25,0.5,1,0.0,0.11552246846923969
25,0.5,2,0.0,0.20156424319954647
25,0.5,3,0.0,0.2813093188535977
25,0.7,1,0.0,0.01894958999729057
25,0.7,2,0.0,0.03743695061023194
25,0.7,3,0.0,0.06851229117917644
25,1.0,1,1.846184781479124e-16,0.00021354596422449613
25,1.0,2,1.8268484289855383e-33,0.0015184156453485103
25,1.0,3,9.944896472380274e-30,0.0178468182342537
25,1.5,1,0.0,0.009021499328855168
25,1.5,2,0.0,0.01961240668610863
25,1.5,3,0.0,0.04524961398540393
25,2.0,1,0.0,0.01677814330677201
25,2.0,2,0.0,0.03553224836606968
25,2.0,3,0.0,0.0691760961828155
