step_divisor,temperature,k,p_value,jsd
1,1.0,1,5.527170852632042e-11,0.00015949862997544943
1,1.0,2,9.672819844694104e-11,0.0010963523853246859
1,1.0,3,5.556180693353533e-10,0.016476487677529305
2,1.0,1,1.9010488044066157e-12,0.00017423237813625315
2,1.0,2,2.8456091553944242e-09,0.0010603891736354577
2,1.0,3,3.1728990914551984e-09,0.01643432623893797
5,1.0,1,6.273304818921594e-11,0.00015891906510715845
5,1.0,2,5.136964851714906e-13,0.001148146562953289
5,1.0,3,1.65820274947974e-11,0.016665931261490973
10,1.0,1,7.322992583760558e-17,0.00021742700912020613
10,1.0,2,1.5645987132353829e-15,0.0012016442361425202
10,1.0,3,5.5612667476448456e-11,0.016612640274545273
25,1.0,1,3.0961117464685034e-16,0.0002113799341846628
25,1.0,2,1.0155850341740945e-29,0.0014583098796611047
25,1.0,3,1.0016249110933865e-23,0.01750474482880419
50,1.0,1,5.657619216087468e-13,0.0001809218523596577
50,1.0,2,5.584600603798722e-50,0.0017776722930205949
50,1.0,3,2.6550585981643652e-43,0.018673262192289732
100,1.0,1,6.820232658781777e-13,0.0001908963609055619
100,1.0,2,5.661277443864555e-70,0.0021755898776827077
100,1.0,3,3.463117305186857e-64,0.020717519010959945
