step_divisor,temperature,k,p_value,jsd
15,0.8,1,1.1646018427291018e-07,0.018292676923219342
15,0.8,2,7.650769694256624e-05,0.14886447139119466
15,0.8,3,0.10477927380346651,0.75906303972779
15,1.0,1,8.395012821151679e-06,0.01515502106787512
15,1.0,2,0.0006170269622227428,0.14964028746259517
15,1.0,3,0.13694175996653785,0.7860870332186944
15,1.2,1,0.017090515800879547,0.008952611102881548
15,1.2,2,0.21668310794380075,0.1232301991496175
15,1.2,3,0.3205479421416371,0.7949697657140259
25,0.8,1,1.382346038700901e-09,0.021241790965421788
25,0.8,2,4.136895031679697e-06,0.15680229610537702
25,0.8,3,0.08713418969801628,0.7555522257834462
25,1.0,1,0.22818074020689805,0.006059959313408163
25,1.0,2,0.4771854255013968,0.11780209947262162
25,1.0,3,0.5049465324912752,0.7632899265278151
25,1.2,1,0.05130413752531865,0.007853185082523612
25,1.2,2,0.018523159983044574,0.13558186343144427
25,1.2,3,0.20445426093129354,0.8007799666744513
35,0.8,1,4.929908598789266e-10,0.021927078569238118
35,0.8,2,9.508539902650151e-05,0.14918477331266491
35,0.8,3,0.14041253002725612,0.7556422058713518
35,1.0,1,0.0004989552615037636,0.0120571867120152
35,1.0,2,0.004138994103944622,0.14095621537846964
35,1.0,3,0.18569006798626914,0.7870483850485339
35,1.2,1,0.0007294014160708916,0.011738069816557962
35,1.2,2,0.0005012486292364288,0.14900623607253632
35,1.2,3,0.1557882571553412,0.8013905857880633
