t,y
0.0,0.0
0.2,0.004
0.4,0.008
0.6,0.013
0.8,0.019
1.0,0.025
1.2,0.031
1.4,0.035
1.6,0.041
1.8,0.045
2.0,0.056
2.2,0.065
2.4,0.073
2.6,0.077
2.8,0.082
3.0,0.083
3.2,0.085
3.4,0.087
3.6,0.089
3.8,0.091
4.0,0.095
4.2,0.098
4.4,0.1
4.6,0.103
4.8,0.104
5.0,0.105
5.2,0.106
5.4,0.11
5.6,0.112
5.8,0.114
6.0,0.113
6.2,0.113
6.4,0.111
6.6,0.109
6.8,0.111
7.0,0.113
7.2,0.115
7.4,0.117
7.6,0.119
7.8,0.122
8.0,0.123
8.2,0.123
8.4,0.123
8.6,0.122
8.8,0.121
9.0,0.121
9.2,0.124
9.4,0.129
9.6,0.133
9.8,0.135
10.0,0.135
10.2,0.136
10.4,0.136
10.6,0.135
10.8,0.137
11.0,0.14
11.2,0.14
11.4,0.14
11.6,0.14
11.8,0.142
12.0,0.144
12.2,0.147
12.4,0.149
12.6,0.152
12.8,0.155
13.0,0.156
13.2,0.156
13.4,0.154
13.6,0.15
13.8,0.147
14.0,0.144
14.2,0.144
14.4,0.14
14.6,0.139
14.8,0.14
15.0,0.142
15.2,0.14
15.4,0.139
15.6,0.14
15.8,0.138
16.0,0.136
16.2,0.137
16.4,0.141
16.6,0.143
16.8,0.144
17.0,0.145
17.2,0.145
17.4,0.145
17.6,0.144
17.8,0.146
18.0,0.145
18.2,0.147
18.4,0.15
18.6,0.155
18.8,0.157
19.0,0.16
19.2,0.159
19.4,0.157
19.6,0.153
19.8,0.15
20.0,0.149
20.2,0.15
20.4,0.151
20.6,0.152
20.8,0.153
21.0,0.149
21.2,0.146
21.4,0.145
21.6,0.145
21.8,0.144
22.0,0.149
22.2,0.153
22.4,0.155
22.6,0.156
22.8,0.157
23.0,0.155
23.2,0.154
23.4,0.152
23.6,0.152
23.8,0.153
24.0,0.154
24.2,0.152
24.4,0.151
24.6,0.15
24.8,0.149
25.0,0.149
25.2,0.15
25.4,0.15
25.6,0.149
25.8,0.148
26.0,0.148
26.2,0.148
26.4,0.148
26.6,0.148
26.8,0.15
27.0,0.149
27.2,0.15
27.4,0.15
27.6,0.152
27.8,0.153
28.0,0.151
28.2,0.148
28.4,0.147
28.6,0.145
28.8,0.145
29.0,0.147
29.2,0.149
29.4,0.15
29.6,0.149
29.8,0.148
30.0,0.146
30.2,0.146
30.4,0.146
30.6,0.149
30.8,0.153
31.0,0.159
31.2,0.164
31.4,0.166
31.6,0.169
31.8,0.169
32.0,0.166
32.2,0.164
32.4,0.163
32.6,0.162
32.8,0.163
33.0,0.162
33.2,0.162
33.4,0.162
33.6,0.161
33.8,0.158
34.0,0.158
34.2,0.157
34.4,0.156
34.6,0.154
34.8,0.156
35.0,0.158
35.2,0.16
35.4,0.16
35.6,0.16
35.8,0.157
36.0,0.154
36.2,0.152
36.4,0.154
36.6,0.156
36.8,0.16
37.0,0.162
37.2,0.163
37.4,0.16
37.6,0.157
37.8,0.154
38.0,0.15
38.2,0.149
38.4,0.151
38.6,0.152
38.8,0.155
39.0,0.157
39.2,0.159
39.4,0.158
39.6,0.158
39.8,0.157
40.0,0.156
40.2,0.156
40.4,0.155
40.6,0.157
40.8,0.158
41.0,0.158
41.2,0.157
41.4,0.159
41.6,0.158
41.8,0.16
42.0,0.161
42.2,0.163
42.4,0.159
42.6,0.156
42.8,0.151
43.0,0.145
43.2,0.142
43.4,0.144
43.6,0.147
43.8,0.152
44.0,0.156
44.2,0.158
44.4,0.157
44.6,0.156
44.8,0.154
45.0,0.152
45.2,0.151
45.4,0.151
