t,y
0.0,0.0
0.2,0.0
0.4,0.003
0.6,0.005
0.8,0.008
1.0,0.012
1.2,0.015
1.4,0.014
1.6,0.013
1.8,0.01
2.0,0.006
2.2,0.005
2.4,0.007
2.6,0.008
2.8,0.009
3.0,0.009
3.2,0.007
3.4,0.006
3.6,0.005
3.8,0.006
4.0,0.008
4.2,0.009
4.4,0.008
4.6,0.007
4.8,0.007
5.0,0.009
5.2,0.01
5.4,0.01
5.6,0.01
5.8,0.01
6.0,0.007
6.2,0.006
6.4,0.007
6.6,0.007
6.8,0.007
7.0,0.008
7.2,0.009
7.4,0.009
7.6,0.009
7.8,0.01
8.0,0.012
8.2,0.013
8.4,0.013
8.6,0.014
8.8,0.014
9.0,0.012
9.2,0.01
9.4,0.007
9.6,0.005
9.8,0.004
10.0,0.004
10.2,0.003
10.4,0.003
10.6,0.005
10.8,0.006
11.0,0.009
11.2,0.011
11.4,0.013
11.6,0.013
11.8,0.013
12.0,0.011
12.2,0.009
12.4,0.009
12.6,0.01
12.8,0.011
13.0,0.011
13.2,0.012
13.4,0.012
13.6,0.011
13.8,0.01
14.0,0.01
14.2,0.011
14.4,0.013
14.6,0.014
14.8,0.015
15.0,0.015
15.2,0.013
15.4,0.011
15.6,0.01
15.8,0.01
16.0,0.011
16.2,0.013
16.4,0.012
16.6,0.011
16.8,0.01
17.0,0.009
17.2,0.01
17.4,0.011
17.6,0.01
17.8,0.01
18.0,0.009
18.2,0.008
18.4,0.008
18.6,0.008
18.8,0.008
19.0,0.009
19.2,0.009
19.4,0.008
19.6,0.008
19.8,0.009
20.0,0.011
20.2,0.01
20.4,0.01
20.6,0.011
20.8,0.01
21.0,0.009
21.2,0.009
21.4,0.01
21.6,0.007
21.8,0.007
22.0,0.008
22.2,0.009
22.4,0.01
22.6,0.014
22.8,0.016
23.0,0.016
23.2,0.016
23.4,0.015
23.6,0.013
23.8,0.012
24.0,0.012
24.2,0.011
24.4,0.011
24.6,0.012
