,count_A,count_B,ratio_A,ratio_B,log2_fold
1.10.10.10,2,0,0.0006635700066123628,3.0184123136526715e-13,31.03381164112112
1.10.10.60,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
1.10.132.60,1,9,0.00033178500347207394,0.0027165710825892454,-3.033466213746407
1.10.260.40,2,0,0.0006635700066123628,3.0184123136526715e-13,31.03381164112112
1.10.287.130,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
1.10.287.690,0,1,3.317850031402889e-13,0.0003018412316671084,-29.760894069015446
1.10.405.10,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
1.10.8.60,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
1.11.1.-,0,1,3.317850031402889e-13,0.0003018412316671084,-29.760894069015446
1.20.120.1760,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
1.20.120.20,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
1.20.120.730,0,1,3.317850031402889e-13,0.0003018412316671084,-29.760894069015446
1.20.1220.12,0,1,3.317850031402889e-13,0.0003018412316671084,-29.760894069015446
1.20.1250.10,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
1.20.1250.20,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
1.20.1440.130,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
1.20.90.10,0,1,3.317850031402889e-13,0.0003018412316671084,-29.760894069015446
1.25.40.10,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
1.25.40.20,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
1.4.3.-,1,1,0.00033178500347207394,0.0003018412316671084,0.13645878641350923
"2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity",0,1,3.317850031402889e-13,0.0003018412316671084,-29.760894069015446
2-alkenal reductase [NAD,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
2.1.1.-,3,1,0.0009953550097526517,0.0003018412316671084,1.7214212861728686
2.170.16.10,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
2.3.1.-,3,0,0.0009953550097526517,3.0184123136526715e-13,31.618774141601826
2.3.2.-,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
2.30.30.10,0,1,3.317850031402889e-13,0.0003018412316671084,-29.760894069015446
2.4.-.-,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
2.4.1.-,1,1,0.00033178500347207394,0.0003018412316671084,0.13645878641350923
2.4.2.-,0,1,3.317850031402889e-13,0.0003018412316671084,-29.760894069015446
2.40.10.10,0,1,3.317850031402889e-13,0.0003018412316671084,-29.760894069015446
2.40.180.10,1,1,0.00033178500347207394,0.0003018412316671084,0.13645878641350923
2.40.270.10,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
2.40.420.20,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
2.40.50.100,0,1,3.317850031402889e-13,0.0003018412316671084,-29.760894069015446
2.40.50.140,0,1,3.317850031402889e-13,0.0003018412316671084,-29.760894069015446
2.40.50.150,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
2.40.50.360,0,1,3.317850031402889e-13,0.0003018412316671084,-29.760894069015446
2.6.99.-,0,1,3.317850031402889e-13,0.0003018412316671084,-29.760894069015446
2.60.120.10,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
2.60.120.200,0,3,3.317850031402889e-13,0.0009055236943976427,-31.345856568774806
2.60.120.260,0,1,3.317850031402889e-13,0.0003018412316671084,-29.760894069015446
2.60.200.10,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
2.60.40.1120,0,1,3.317850031402889e-13,0.0003018412316671084,-29.760894069015446
2.60.98.10,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
2.7.7.-,3,0,0.0009953550097526517,3.0184123136526715e-13,31.618774141601826
2.7.8.-,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
2.70.98.10,0,1,3.317850031402889e-13,0.0003018412316671084,-29.760894069015446
2.70.98.20,0,1,3.317850031402889e-13,0.0003018412316671084,-29.760894069015446
2.8.1.-,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
3-deoxy-7-phosphoheptulonate synthase,0,1,3.317850031402889e-13,0.0003018412316671084,-29.760894069015446
3.1.-.-,12,5,0.003981420038015252,0.001509206157128177,1.3994931920789888
3.1.1.-,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
3.1.13.-,0,1,3.317850031402889e-13,0.0003018412316671084,-29.760894069015446
3.1.21.-,2,1,0.0006635700066123628,0.0003018412316671084,1.1364587856921615
3.1.22.-,0,4,3.317850031402889e-13,0.0012073649257629097,-31.760894067933425
3.1.27.-,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
3.10.20.30,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
3.10.20.810,0,1,3.317850031402889e-13,0.0003018412316671084,-29.760894069015446
3.10.28.10,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
3.20.20.110,1,2,0.00033178500347207394,0.0006036824630323755,-0.8635412128651428
3.20.20.360,0,1,3.317850031402889e-13,0.0003018412316671084,-29.760894069015446
3.20.20.60,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
3.30.1360.170,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
3.30.160.100,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
3.30.160.670,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
3.30.230.10,0,1,3.317850031402889e-13,0.0003018412316671084,-29.760894069015446
3.30.300.30,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
3.30.342.10,0,1,3.317850031402889e-13,0.0003018412316671084,-29.760894069015446
3.30.450.20,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
3.30.565.10,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
3.30.70.250,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
3.4.-.-,3,0,0.0009953550097526517,3.0184123136526715e-13,31.618774141601826
3.4.24.-,1,1,0.00033178500347207394,0.0003018412316671084,0.13645878641350923
3.40.1350.10,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
3.40.1380.20,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
3.40.20.10,0,1,3.317850031402889e-13,0.0003018412316671084,-29.760894069015446
3.40.220.10,0,1,3.317850031402889e-13,0.0003018412316671084,-29.760894069015446
3.40.366.10,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
3.40.420.10,0,1,3.317850031402889e-13,0.0003018412316671084,-29.760894069015446
3.40.50.12100,0,1,3.317850031402889e-13,0.0003018412316671084,-29.760894069015446
3.40.50.12780,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
3.40.50.150,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
3.40.50.2000,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
3.40.50.2300,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
3.40.50.300,4,2,0.0013271400128929405,0.0006036824630323755,1.1364587860528357
3.40.50.620,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
3.40.50.720,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
3.40.50.790,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
3.40.630.30,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
3.40.640.10,4,13,0.0013271400128929405,0.003923936008050314,-1.5639809314778856
3.5.1.-,1,0,0.00033178500347207394,3.0184123136526715e-13,30.033811641842465
3.6.-.-,2,0,0.0006635700066123628,3.0184123136526715e-13,31.03381164112112
